year,ls_number,ac_id,name,party,gender,caste,portfolio,rank,appointment_begin,appointment_end,house,constituency,pid,State,start_source,end_source,comments,type_begin,type_end,dyn,comments
1991,10,,A. K. ANTONY,INC,M,,Civil Supplies and Public Distribution,CM,18-01-1993,08-02-1995,Rajya Sabha,NA,NA ,Kerala,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1552.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1577.pdf,,mid_term,mid_term,0,
2009,15,,A. K. ANTONY,INC,M,,Defence,CM,23-05-2009,26-05-2014,Rajya Sabha,NA,NA ,Kerala,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_940.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1444.pdf,,start_of_term,end_of_term,0,
2004,14,,A. K. ANTONY,INC,M,,Defence,CM,24-10-2006,22-05-2009,Rajya Sabha,NA,NA ,Kerala,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1482.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1454.pdf,,mid_term,end_of_term,0,
1999,13,7,A. K. MOORTHY,PMK,M,OBC,Railways,MoS,01-07-2002,15-01-2004,Lok Sabha,CHENGALPATTU,13_Tamil_Nadu_5_0_1,Tamil_Nadu,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1704.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1464.pdf,,mid_term,mid_term,0,
2004,14,,A. NARENDRA,TRS,M,,Rural Development,MoS,22-05-2004,24-08-2006,Lok Sabha,MEDAK,14_Andhra_Pradesh_33_0_1,Andhra_Pradesh,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1472.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1481.pdf,,start_of_term,mid_term,1,His two sons are both politicians. His younger brother Ale Shyam is an RSS pracharak
1991,10,,A. R. ANTULAY,INC,M,,Health and Family Welfare,CM,11-06-1995,16-05-1996,Rajya Sabha,NA,NA ,Maharashtra,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1584.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1607.pdf,,mid_term,end_of_term,1,His son Naved Antulay joined Shiv Sena in 2019
1991,10,,A. R. ANTULAY,INC,M,,Water Resources,CM,07-02-1996,16-05-1996,Rajya Sabha,NA,NA ,Maharashtra,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1598.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1607.pdf,,mid_term,end_of_term,1,His son Naved Antulay joined Shiv Sena in 2020
2004,14,32,A. R. ANTULAY,INC,M,,Minority Affairs,CM,29-01-2006,22-05-2009,Lok Sabha,KOLABA,14_Maharashtra_3_0_1,Maharashtra,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1477.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1454.pdf,,mid_term,end_of_term,1,His son Naved Antulay joined Shiv Sena in 2021
1999,13,19,A. RAJA,DMK,M,SC,Rural Development,MoS,13-10-1999,30-09-2000,Lok Sabha,PERAMBALUR,13_Tamil_Nadu_28_0_1,Tamil_Nadu,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1751.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1673.pdf,,start_of_term,mid_term,0,
1999,13,19,A. RAJA,DMK,M,SC,Health and Family Welfare,MoS,30-09-2000,21-12-2003,Lok Sabha,PERAMBALUR,13_Tamil_Nadu_28_0_1,Tamil_Nadu,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1673.pdf,https://cabsec.gov.in/writereaddata/changeinportfolio/english/1_Upload_1725.pdf,,mid_term,mid_term,0,
